,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.131982102788
Australia-Mining and Quarrying,0.154815184855
"Australia-Food, Beverages and Tobacco",0.109039394557
Australia-Textiles and Textile Products,0.10782308402
"Australia-Leather, Leather and Footwear",0.101538283688
Australia-Wood and Products of Wood and Cork,0.0981153911471
"Australia-Pulp, Paper, Paper , Printing and Publishing",0.102324486884
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.110331449252
Australia-Chemicals and Chemical Products,0.109090484286
Australia-Rubber and Plastics,0.102250113936
Australia-Other Non-Metallic Mineral,0.0937580866067
Australia-Basic Metals and Fabricated Metal,0.114013423936
"Australia-Machinery, Nec",0.106220962617
Australia-Electrical and Optical Equipment,0.108895496029
Australia-Transport Equipment,0.10497603815
"Australia-Manufacturing, Nec; Recycling",0.100079370195
"Australia-Electricity, Gas and Water Supply",0.0909617082107
Australia-Construction,0.0619259628741
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.096660623536
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0631113463452
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0658585626941
Australia-Hotels and Restaurants,0.102869498497
Australia-Inland Transport,0.0875858569108
Australia-Water Transport,0.100708874012
Australia-Air Transport,0.106181314718
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.0950946545711
Australia-Post and Telecommunications,0.0948598464823
Australia-Financial Intermediation,0.0709186894123
Australia-Real Estate Activities,0.0281138110145
Australia-Renting of M&Eq and Other Business Activities,0.07494302632
Australia-Public Admin and Defence; Compulsory Social Security,0.0730413954335
Australia-Education,0.0882977437544
Australia-Health and Social Work,0.0699810989653
"Australia-Other Community, Social and Personal Services",0.0852164218796
Australia-Private Households with Employed Persons,0.0999790267804
"Austria-Agriculture, Hunting, Forestry and Fishing",0.0987366299005
Austria-Mining and Quarrying,0.100377858674
"Austria-Food, Beverages and Tobacco",0.100459579903
Austria-Textiles and Textile Products,0.111309675933
"Austria-Leather, Leather and Footwear",0.103679512536
Austria-Wood and Products of Wood and Cork,0.103263371526
"Austria-Pulp, Paper, Paper , Printing and Publishing",0.117223726332
"Austria-Coke, Refined Petroleum and Nuclear Fuel",0.110617980143
Austria-Chemicals and Chemical Products,0.122352768674
Austria-Rubber and Plastics,0.107970357725
Austria-Other Non-Metallic Mineral,0.108311063705
Austria-Basic Metals and Fabricated Metal,0.124288009339
"Austria-Machinery, Nec",0.136780454229
Austria-Electrical and Optical Equipment,0.133091878658
Austria-Transport Equipment,0.122050606838
"Austria-Manufacturing, Nec; Recycling",0.105514094836
"Austria-Electricity, Gas and Water Supply",0.104340145093
Austria-Construction,0.0881853226617
"Austria-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",0.0974095368636
"Austria-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",0.0931262185046
"Austria-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",0.0870639045197
Austria-Hotels and Restaurants,0.0831311675843
Austria-Inland Transport,0.10098141108
Austria-Water Transport,0.10010853778
Austria-Air Transport,0.100076633216
Austria-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,0.107668974373
Austria-Post and Telecommunications,0.0990047166246
Austria-Financial Intermediation,0.0984961204841
Austria-Real Estate Activities,0.0708688615774
Austria-Renting of M&Eq and Other Business Activities,0.123874829623
Austria-Public Admin and Defence; Compulsory Social Security,0.075540545846
Austria-Education,0.0798432851471
